event_id,event_name,event_start_date,slug,name,day1_entries,day1_total,day1_share,day1_share_pct,share_bin,exact_live_join,day1_points_rate_pct,event_points_rate_pct,points_rate_centered_pp,source_rate_formula_delta_pp,day2_entries,day2_total,day2_expected,day2_lift,day2_log2_lift_smoothed_05,day2_log2_lift_bounded_2,top8,top16,top32,top8_lift,top16_lift,top32_lift,top32_log2_lift_smoothed_05,winner
0001,Regional Championship Baltimore,2024-09-13,alakazam-ex,Alakazam,1,2301,0.000434593654932638,0.0434593654932638,<0.5%,True,20.0,48.05508482829818,-28.055084828298178,0.0,0,129,0.056062581486310305,0.0,-0.1533191638153567,-0.1533191638153567,0,0,0,0.0,0.0,0.0,-0.03957920000266784,0
0001,Regional Championship Baltimore,2024-09-13,ancient-box,Ancient Box,214,2301,0.09300304215558453,9.300304215558452,>=5%,True,49.45,48.05508482829818,1.3949151717018253,0.00454728775963531,12,129,11.997392438070404,1.0002173440556401,0.0003009847277152359,0.0003009847277152359,0,0,1,0.0,0.0,0.3360105140186916,-1.2125059850336304,0
0001,Regional Championship Baltimore,2024-09-13,arceus-armarouge,Arceus Armarouge,1,2301,0.000434593654932638,0.0434593654932638,<0.5%,True,81.48,48.05508482829818,33.42491517170183,-0.0014814814814769761,1,129,0.056062581486310305,17.83720930232558,1.4316433369057995,1.4316433369057995,0,0,0,0.0,0.0,0.0,-0.03957920000266784,0
0001,Regional Championship Baltimore,2024-09-13,arceus-giratina,Arceus Giratina,1,2301,0.000434593654932638,0.0434593654932638,<0.5%,True,33.33,48.05508482829818,-14.72508482829818,-0.003333333333337407,0,129,0.056062581486310305,0.0,-0.1533191638153567,-0.1533191638153567,0,0,0,0.0,0.0,0.0,-0.03957920000266784,0
0001,Regional Championship Baltimore,2024-09-13,arceus-vstar,Arceus,3,2301,0.001303780964797914,0.1303780964797914,<0.5%,True,30.43,48.05508482829818,-17.625084828298178,-0.004782608695652613,0,129,0.1681877444589309,0.0,-0.41832542688987495,-0.41832542688987495,0,0,0,0.0,0.0,0.0,-0.11562189926741101,0
0001,Regional Championship Baltimore,2024-09-13,arceus-vulpix,Arceus Vulpix,8,2301,0.003476749239461104,0.3476749239461104,<0.5%,True,42.86,48.05508482829818,-5.195084828298178,0.002857142857145334,0,129,0.44850065189048244,0.0,-0.9237206702927128,-0.9237206702927128,0,0,0,0.0,0.0,0.0,-0.2898485690906103,0
0001,Regional Championship Baltimore,2024-09-13,banette-dusknoir,Banette Dusknoir,17,2301,0.007388092133854845,0.7388092133854846,0.5-1%,True,48.97,48.05508482829818,0.9149151717018214,-0.004358974358972034,1,129,0.953063885267275,1.049247606019152,0.04586436696433733,0.04586436696433733,0,0,1,0.0,0.0,4.2297794117647065,1.0263638474612515,0
0001,Regional Championship Baltimore,2024-09-13,banette-ex-sv,Banette,2,2301,0.000869187309865276,0.0869187309865276,<0.5%,True,22.22,48.05508482829818,-25.83508482829818,-0.0022222222222225696,0,129,0.11212516297262061,0.0,-0.29189858015084125,-0.29189858015084125,0,0,0,0.0,0.0,0.0,-0.07810150641177538,0
0001,Regional Championship Baltimore,2024-09-13,banette-gardevoir,Banette Gardevoir,2,2301,0.000869187309865276,0.0869187309865276,<0.5%,True,59.52,48.05508482829818,11.464915171701826,-0.003809523809522375,0,129,0.11212516297262061,0.0,-0.29189858015084125,-0.29189858015084125,0,0,0,0.0,0.0,0.0,-0.07810150641177538,0
0001,Regional Championship Baltimore,2024-09-13,blissey-ex,Blissey,1,2301,0.000434593654932638,0.0434593654932638,<0.5%,True,33.33,48.05508482829818,-14.72508482829818,-0.003333333333337407,0,129,0.056062581486310305,0.0,-0.1533191638153567,-0.1533191638153567,0,0,0,0.0,0.0,0.0,-0.03957920000266784,0
