target_id,target_name,target_start_date,target_event_type,target_format,window_class,cohort_id,online_only_available,online_only_accuracy_pct,online_only_mae_pp,irl_only_available,irl_only_accuracy_pct,irl_only_mae_pp,fifty_fifty_available,fifty_fifty_accuracy_pct,fifty_fifty_mae_pp,current_v2_1_available,current_v2_1_accuracy_pct,current_v2_1_mae_pp
0001,Regional Championship Baltimore,2024-09-13,Regional Championship,BRS-SFA,transition,C001,True,76.81389284956062,0.45462955196939975,False,,,False,,,False,,
0002,Regional Championship Dortmund,2024-09-28,Regional Championship,BRS-SCR,transition,C002,True,74.90968491431708,0.46897785206883946,False,,,False,,,False,,
0003,Regional Championship Joinville,2024-09-28,Regional Championship,BRS-SCR,transition,C002,True,71.27379447586145,0.5524270293103567,False,,,False,,,False,,
0004,Special Event Lima,2024-10-05,Special Event,BRS-SCR,settled,C003,True,63.814163830481604,0.6639602966884108,True,74.21674784948532,0.6366235098892514,True,73.4108322574965,0.5371549038889596,True,73.70369769104052,0.53123843048403
0005,Regional Championship Louisville,2024-10-11,Regional Championship,BRS-SCR,settled,C004,True,62.84074107797102,0.640676877966017,True,75.0284714639616,0.6486111308061927,False,,,False,,
0006,Regional Championship Lille,2024-10-19,Regional Championship,BRS-SCR,settled,C005,True,67.94419786604904,0.5387529770411926,True,89.07948999556328,0.26314481938401735,True,86.69317538295178,0.26613649234096426,True,88.06188052011211,0.23876238959775775
0007,Regional Championship Gdańsk,2024-11-02,Regional Championship,BRS-SCR,settled,C006,True,71.72498558193521,0.44527581760731944,True,88.10396209736572,0.3215145379090344,True,84.96992979911764,0.28903981155543,True,84.01317386954365,0.3074389640472374
0008,Special Event Buenos Aires,2024-11-09,Special Event,BRS-SCR,settled,C007,True,65.9101421131609,0.5454377261894253,True,84.04627855563744,0.5597796998021952,False,,,False,,
0009,International Championship São Paulo,2024-11-15,International Championship,BRS-SCR,settled,C008,True,71.55998847062193,0.44093041130818733,True,87.16535258189894,0.38892870963942594,False,,,False,,
0010,Regional Championship Sacramento,2024-11-22,Regional Championship,BRS-SSP,transition,C009,True,70.2350464211781,0.5461459372260901,False,,,False,,,False,,
0011,Regional Championship Stuttgart,2024-11-30,Regional Championship,BRS-SSP,settled,C010,True,73.69696722398473,0.4458141148477163,True,85.2678909166173,0.3426071879856441,True,84.15610421558175,0.3017884911317762,True,85.18740411785171,0.28214468346949123
0012,Special Event Bogotá,2024-12-07,Special Event,BRS-SSP,settled,C011,True,63.16994598609686,0.6757808075945528,True,79.04503788631268,0.5741085510599265,False,,,False,,
0013,Regional Championship Perth,2024-12-07,Regional Championship,BRS-SSP,settled,C011,True,60.14949984711484,0.7180270297817146,True,71.91424842622447,0.7390987256256717,False,,,False,,
