key,name,cohorts,mean_residual_pp,residual_sd_pp,mean_abs_residual_pp,online_delta_residual_slope,mean_forecast_share_pct
dragapult-dusknoir,Dragapult Dusknoir,25,-0.6013159324674182,2.021073192635259,1.491041099507231,0.45465071079589564,10.178665574637463
raging-bolt-ogerpon,Raging Bolt Ogerpon,25,0.26117610743166736,1.9006002137910907,1.423239648253382,0.38933754382203745,7.6163116092806185
charizard-pidgeot,Charizard Pidgeot,22,-0.6301246820468159,1.5017256992613108,1.2518105080610815,0.4492642210059426,5.630817805408442
gardevoir-ex-sv,Gardevoir,22,0.4930405585339925,1.7793584950352577,1.5256589400119258,0.0952301790115516,8.57519832615245
ceruledge-ex,Ceruledge,21,-0.17598869536781142,0.7653326715821638,0.6013525628066035,0.29686604861425575,2.5243558617856534
gholdengo-ex,Gholdengo,19,-0.19728893710552917,2.3282562370680306,1.5515753234781617,0.37554479021898657,5.065461419232574
dragapult-charizard,Dragapult Charizard,17,-0.026270993664606907,0.7880387375700564,0.6028580309034846,0.29299778627666473,2.1283793097281913
dragapult-ex,Dragapult,17,0.710813943130634,2.2180503617474843,1.5006087118702656,-0.010527886937182662,6.190438932452825
flareon-noctowl,Flareon Noctowl,16,0.17560911896606918,1.2319587482079501,0.8532518465044,0.6683611872116848,2.269676790263945
n-zoroark,N's Zoroark,16,-0.20764007130655623,1.397322722405781,1.1403755853306126,0.6071489312734676,3.8276803934065446
roaring-moon-ex,Roaring Moon,14,0.347558026989461,1.1369380626906063,0.8258853620329206,0.37931181765157584,2.0939794609994364
tera-box,Tera Box,14,0.03612110174168063,1.0867524040897512,0.8409672110017895,0.5149590862661193,3.381363380743665
joltik-box,Joltik Box,13,0.5976659286846542,1.7844727171845405,1.014908873352509,0.7064455876655197,4.378490948333126
hydreigon-ex,Hydreigon,12,-0.3072714101725345,0.301425174713433,0.35308163489608835,-0.12165962708441336,1.1132229105444253
pidgeot-control,Pidgeot Control,12,-0.0172218815498537,0.5327869628503484,0.410390355759245,0.32082750683511463,1.0905498328312113
slowking-scr,Slowking,12,0.0012465531809027497,0.31283058344955705,0.2278533743592955,0.1836870552741565,1.0810741724749178
archaludon-ex,Archaludon,11,-0.2784320839597181,1.1664807661261343,0.7505244743492185,0.17648118264410237,3.0688108704108834
charizard-noctowl,Charizard Noctowl,11,0.19982706303488318,2.486272983768189,1.1856794134191755,0.757011053169246,2.65822949179914
grimmsnarl-froslass,Grimmsnarl Froslass,11,-0.2929671073673299,1.0893959100234567,0.8762840322066752,0.30194135841116454,4.140153439390139
terapagos-noctowl,Terapagos Noctowl,11,0.02657810439001843,0.9491570686899252,0.6666702316270038,-0.051206844410741754,2.7522730853026927
cynthia-garchomp-ex,Cynthia's Garchomp,10,-0.21491338932002707,0.7226221094068789,0.4769055556064605,0.5504432633367448,1.9804358734683596
alakazam-dudunsparce,Alakazam Dudunsparce,9,-0.4280826444008139,0.8807098097450505,0.8325502583428295,-0.10181189450392797,3.6321730346918715
ancient-box,Ancient Box,9,0.12859785636211368,0.564400216629003,0.37858248854855786,0.04362647175449598,1.524894055102538
lost-zone-box,Lost Zone Box,9,-0.3296161741317418,1.5336383631337576,1.415536661012607,0.45746816750961583,3.647068610792062
lucario-hariyama,Lucario Hariyama,9,-0.15585382957808014,1.0379273674159384,0.7489677101201152,0.7982668328520361,1.8699895895999532
lugia-archeops,Lugia Archeops,9,0.7342938048850248,2.0432469145691057,1.6517425660287013,0.08678411847329925,6.800109128381503
mega-venusaur-ex,Mega Venusaur,9,-0.12665788839858078,0.24900842642689525,0.24990800189977008,-0.09424419597994241,1.029589228869515
miraidon-ex,Miraidon,9,1.1358380663985677,2.9963919782110535,2.2928988031427444,0.3698128051068313,5.37159390592405
