series,cohort_id,date,event_count,cohort_mean_accuracy_pct
irl_settled_primary,C014,2025-01-24,1,86.94225348295116
irl_settled_primary,C016,2025-02-15,1,77.11727950012016
irl_settled_primary,C017,2025-02-21,1,83.85807591633845
irl_settled_primary,C018,2025-03-07,2,77.97969855513507
irl_settled_primary,C019,2025-03-22,1,83.89382611675425
irl_settled_primary,C020,2025-03-29,1,81.5796733762124
irl_settled_primary,C022,2025-04-19,1,78.86621315192744
irl_settled_primary,C023,2025-04-26,1,82.9394072071729
irl_settled_primary,C024,2025-05-02,1,71.34514141995439
irl_settled_primary,C025,2025-05-17,3,81.38564527589968
irl_settled_primary,C026,2025-05-23,1,90.75816928645808
irl_settled_primary,C027,2025-05-31,1,85.26101201310522
irl_settled_primary,C030,2025-09-13,2,75.63466930458483
irl_settled_primary,C031,2025-09-19,1,87.64123990612424
irl_settled_primary,C033,2025-10-25,1,83.51585510461692
irl_settled_primary,C034,2025-11-01,2,83.87844432595291
irl_settled_primary,C035,2025-11-14,2,83.04015008944458
irl_settled_primary,C036,2025-11-21,1,88.99037413137196
irl_settled_primary,C038,2026-01-16,1,75.31715345367172
irl_settled_primary,C039,2026-01-24,2,82.82504462739908
irl_settled_primary,C040,2026-02-07,2,84.87902330470743
irl_settled_primary,C041,2026-02-13,1,89.1890919649212
irl_settled_primary,C042,2026-02-27,1,84.76118652589241
irl_settled_primary,C044,2026-03-14,1,84.43154248931947
irl_settled_primary,C045,2026-03-20,1,89.3773679548341
irl_settled_primary,C046,2026-03-28,1,87.5391797073351
irl_settled_primary,C047,2026-04-03,2,87.33114281771944
irl_settled_primary,C049,2026-05-08,1,76.25845908877066
irl_settled_primary,C050,2026-05-16,2,84.75840936233092
irl_settled_primary,C051,2026-05-23,2,80.7596271117521
irl_settled_primary,C052,2026-05-29,1,83.44781390817197
irl_settled_primary,C054,2026-06-12,1,81.98694282036693
fifty_fifty_complete_case,C005,2024-10-19,1,86.69317538295178
fifty_fifty_complete_case,C006,2024-11-02,1,84.96992979911764
fifty_fifty_complete_case,C010,2024-11-30,1,84.15610421558175
fifty_fifty_complete_case,C012,2024-12-13,1,83.81727110668086
fifty_fifty_complete_case,C013,2025-01-18,2,82.0871734003094
fifty_fifty_complete_case,C016,2025-02-15,1,80.10434806721757
